split,writer_id,sample_count,feat__offset_count__median,feat__offset_count__iqr,feat__draw_segment_count__median,feat__draw_segment_count__iqr,feat__relocation_count__median,feat__relocation_count__iqr,feat__draw_run_count__median,feat__draw_run_count__iqr,feat__draw_fraction__median,feat__draw_fraction__iqr,feat__pen_lift_ratio__median,feat__pen_lift_ratio__iqr,feat__mean_draw_run_length__median,feat__mean_draw_run_length__iqr,feat__mean_draw_length_norm__median,feat__mean_draw_length_norm__iqr,feat__median_draw_length_norm__median,feat__median_draw_length_norm__iqr,feat__mean_relocation_length_norm__median,feat__mean_relocation_length_norm__iqr,feat__relocation_to_draw_ratio__median,feat__relocation_to_draw_ratio__iqr,feat__bbox_width__median,feat__bbox_width__iqr,feat__bbox_height__median,feat__bbox_height__iqr,feat__aspect_ratio__median,feat__aspect_ratio__iqr,feat__ink_density__median,feat__ink_density__iqr,feat__normalized_draw_path_length__median,feat__normalized_draw_path_length__iqr,feat__horizontal_motion_ratio__median,feat__horizontal_motion_ratio__iqr,feat__vertical_motion_ratio__median,feat__vertical_motion_ratio__iqr,feat__path_efficiency__median,feat__path_efficiency__iqr,feat__baseline_slope__median,feat__baseline_slope__iqr,feat__slant_proxy__median,feat__slant_proxy__iqr,feat__mean_abs_turn__median,feat__mean_abs_turn__iqr,feat__sharp_turn_ratio__median,feat__sharp_turn_ratio__iqr,assigned_cluster_id,pca_x,pca_y
train,123482,177,80.0,59.0,75.0,56.0,4.0,4.0,5.0,4.0,0.9491525423728814,0.020784313725490278,0.05357142857142857,0.023013460703430307,15.0,5.25,0.033198293298482895,0.022915584966540337,0.03054775297641754,0.021585799753665924,0.20070824027061462,0.13235867023468018,0.3468815277582801,0.2157288286982027,148.0,116.0,60.0,28.0,2.508771929824561,1.805493133583021,0.04488596928658081,0.016587934230100007,2.409488428018269,0.3884020562249888,0.5175144672393799,0.07704266905784607,0.6925502419471741,0.07978534698486328,0.34156118430103105,0.0815986901977071,0.01102823688364828,0.10914571203968908,0.0,0.0,0.5128351350625356,0.08428881040176073,0.053763440860215055,0.030612244897959183,3,-3.2046888712233508,1.8302185350166815
train,123484,84,66.5,42.0,62.5,42.25,2.0,2.0,3.0,2.0,0.9666666666666667,0.0263197595313317,0.034482758620689655,0.028042224346147282,19.366666666666667,9.549999999999997,0.03769705630838871,0.022226696833968163,0.034945910796523094,0.02002824656665325,0.15945561230182648,0.15048781223595142,0.17755284944733335,0.221737863695467,121.5,75.25,52.0,31.75,2.331761006289308,1.4447268239625168,0.05348006060705172,0.03388839356090741,2.3965728035613836,0.3414708787333378,0.5933307707309723,0.08570648729801178,0.6536218523979187,0.07964292168617249,0.3384697878200247,0.10986851069280612,-0.016175743558798722,0.11898688878471836,0.0,0.0,0.545591507174752,0.0730081277592457,0.05647090087695987,0.02856125356125356,3,-0.30453786693643425,-0.6131934828581728
train,123486,136,77.5,54.25,75.0,53.0,1.0,2.0,2.0,2.0,0.9858091787439613,0.03230165649520489,0.014395194697597348,0.033379888268156424,34.33333333333333,39.3125,0.043557075783610344,0.02230801247060299,0.038350844755768776,0.02149728499352932,0.18823794275522232,0.3022031709551811,0.08048428159384952,0.2387769806816682,174.0,115.0,147.5,76.25,1.3008064516129032,0.9321965291618761,0.03128549707696147,0.016613735994898935,3.2623234965127352,0.9575966209942188,0.4534454643726349,0.11744342744350433,0.7940382957458496,0.07914073765277863,0.2172692065505668,0.06878461543693487,-0.016369113689500038,0.23738079876386642,0.0,0.09757580608129501,0.47950166717467047,0.06721909196161341,0.044152046783625734,0.0285204991087344,2,4.149456261269337,4.5003472425871385
train,123487,209,66.0,49.0,63.0,45.0,3.0,4.0,4.0,4.0,0.9461538461538461,0.022163120567375905,0.056910569105691054,0.02470355731225296,14.0,5.0,0.029791822656989098,0.01976650394499302,0.026228519156575203,0.018792418763041496,0.18029998242855072,0.15031767636537552,0.3743744678564522,0.266721641221977,85.0,76.0,39.0,16.0,2.4444444444444446,1.6931818181818183,0.05414864483278923,0.02426493254444447,1.850471140435805,0.3478057421157683,0.5463560223579407,0.12203603982925415,0.6582310795783997,0.09358453750610352,0.46985607381109445,0.12948052291682216,0.0966310289828678,0.18558277356713665,0.0,0.0,0.5563129770512484,0.08488309695560692,0.042105263157894736,0.02580901330156839,3,-3.6778177593133417,-0.2399879297346162
train,123489,93,44.0,31.0,43.0,29.0,3.0,2.0,4.0,2.0,0.9428571428571428,0.025686977299880565,0.06060606060606061,0.029152542372881354,11.5,3.666666666666668,0.0611603744328022,0.0413980670273304,0.052293162792921066,0.03617045283317566,0.237859308719635,0.15514983236789703,0.24988655886524064,0.1216753488702661,73.0,57.0,47.0,9.0,1.58,1.289473684210526,0.0655166655682187,0.028747506694552942,2.6138965277621526,0.4068298543117579,0.4331408441066742,0.10524669289588928,0.7941350936889648,0.08501803874969482,0.3020362063706474,0.08581087251944547,0.03799287093860224,0.14678133496325652,0.0,0.0,0.7047244980931282,0.10809289250813481,0.1,0.05526963526516,0,-3.065440589903521,-6.685796328289125
train,123490,174,90.0,54.0,87.5,52.0,2.0,3.0,3.0,3.0,0.972850122850123,0.021696173601839508,0.027907580477673936,0.022897931487032643,24.1,16.356060606060606,0.03210511617362499,0.019063242245465517,0.03119766339659691,0.018974225036799908,0.16338305920362473,0.1283529158681631,0.16699808706043812,0.16336045548574876,154.0,91.25,56.0,21.75,2.664190573770492,1.5486271986271987,0.05189539743073829,0.01809701571458268,2.6980143655530395,0.5765509559779534,0.5714932084083557,0.08236818015575409,0.6684110462665558,0.08262357115745544,0.3016397783053129,0.109313595545699,0.014686086428859603,0.13083008417944905,0.0,0.19996000826358795,0.4660364689759193,0.06177009041455206,0.03908836261777438,0.026146012717239812,3,0.9948448314155299,2.470989788115524
train,123491,148,62.5,40.75,59.0,38.5,3.0,3.0,4.0,3.0,0.9448249619482496,0.021669895778396175,0.05839727195225916,0.02425819177116434,13.0,3.258928571428571,0.034321075305342674,0.025861893314868212,0.029675588943064213,0.024933222215622663,0.15632053464651108,0.1205014530569315,0.2759258787286539,0.16026360899096587,142.0,95.75,43.0,36.25,3.2301587301587302,2.2393936877076417,0.0518393626916204,0.02387539877010454,2.099782568079932,0.5322721011269482,0.6519270837306976,0.12880639731884003,0.6068298816680908,0.12920358777046204,0.41855119504635924,0.16962365825641906,0.018762028507145465,0.10199758321204186,0.0,0.23108959197998047,0.6386952680543441,0.08738297640315729,0.06976744186046512,0.03782830142366225,3,-3.1167528714873267,-2.244369216750189
train,123492,105,92.0,58.0,90.0,57.0,2.0,3.0,3.0,3.0,0.9714285714285714,0.024122807017543768,0.029411764705882353,0.02562111801242236,23.5,14.75,0.031408168375492096,0.019428281113505363,0.02734486758708954,0.015006495639681816,0.16183534264564514,0.1855962574481964,0.17537400695728067,0.23048986364091556,151.0,91.0,80.0,38.0,1.9583333333333333,1.4341281921190598,0.039482904864136026,0.014607307653571752,2.7164980535801955,0.5082847922924811,0.6617386341094971,0.08608001470565796,0.6336274147033691,0.09725010395050049,0.2522835933906014,0.08398613671318786,-0.04977673337275425,0.18788780721050044,0.0,0.1249687597155571,0.5178105588507863,0.06726903450738908,0.05755395683453238,0.027856357064277852,2,0.6791384273993308,3.0659986573876483
train,123493,132,74.5,47.0,74.5,47.25,0.0,2.0,1.0,2.0,1.0,0.02031914893617026,0.0,0.020740905057675244,40.25,55.33333333333333,0.0420228336006403,0.02202659472823143,0.03978540934622288,0.023409736342728138,0.0,0.20297518000006676,0.0,0.1229651899503153,97.0,61.25,46.0,15.25,2.12737030411449,1.1098924022837067,0.07873851793266029,0.028109421402130436,3.154118922868764,0.6182787692459204,0.44601157307624817,0.0845743715763092,0.7712660729885101,0.06340581178665161,0.27350378862678676,0.0688243948945281,0.01541782485582871,0.1234922197919509,0.07141836732625961,0.17043998837471008,0.5131978892056693,0.05137133798875554,0.047431571053618296,0.023464680315111848,1,8.324011246676067,0.07610576153422574
train,123494,164,70.5,62.0,68.0,58.0,2.0,2.0,3.0,2.0,0.9682681242807825,0.027357658214801184,0.03277179416367486,0.029325402841548994,21.416666666666664,13.770833333333332,0.043184228241443634,0.0286325691267848,0.038178835064172745,0.024006241466850042,0.220633827149868,0.1743370071053505,0.19989106269120335,0.20862900025250536,129.0,91.75,96.0,33.25,1.3636946035574313,0.9253502371684763,0.03924998238830468,0.0146824238217447,2.995981801396046,0.8384016174976776,0.38857632875442505,0.11271119117736816,0.8291186690330505,0.08120593428611755,0.25471734884093955,0.09301369768180306,0.026952513736146638,0.18286430338052495,0.0,0.14041082188487053,0.4887317488044217,0.07518973893953945,0.05128205128205128,0.030927923300804655,2,0.22591548280971385,1.6955411109187501
train,123495,233,81.0,50.0,77.0,49.0,4.0,3.0,5.0,3.0,0.9534883720930233,0.015353651523864364,0.04878048780487805,0.016853932584269662,16.5,6.0,0.03610390052199364,0.022900644689798355,0.034304700791835785,0.01999778486788273,0.23988188803195953,0.12824884057044983,0.3404347732408445,0.19860798865698248,226.0,152.0,117.0,39.0,1.9477124183006536,1.2966209349593496,0.02658072303323185,0.009283113695759966,2.7761843945727764,0.543746023355121,0.4501616060733795,0.11822831630706787,0.7611663937568665,0.08522087335586548,0.29564480656265246,0.07285946241070429,0.02471334568679556,0.13853231826337375,0.0,0.0714234709739685,0.4580026316642761,0.06915768481843221,0.05128205128205128,0.025393525393525393,3,-2.4554788851519653,4.4157501986890235
train,123498,69,74.0,36.0,72.0,36.0,3.0,2.0,4.0,2.0,0.9627329192546584,0.014230979748221184,0.03870967741935484,0.01540588583843571,19.428571428571427,5.300000000000001,0.04278557002544403,0.02104494348168373,0.036637164652347565,0.01581263542175293,0.17010198533535004,0.14177963137626648,0.18473472784319062,0.12157621434713856,89.0,40.0,53.0,26.0,1.791044776119403,0.8035190615835779,0.06435472920138464,0.027092357563713386,2.8552837434494114,0.7240677488333578,0.5104382038116455,0.10591951012611389,0.7245316505432129,0.09857481718063354,0.253179842146555,0.08440809281186684,0.01355212759324684,0.14842619521332268,0.0,0.0,0.6151453191819398,0.08217072671698045,0.06756756756756757,0.03490196078431373,0,-0.17642111950979375,-0.8628481661512319
